transaction_id,customer_id,merchant_id,transaction_time,amount,device_type,channel,location,is_fraud,transaction_hour,is_night,is_high_amount,is_online,customer_avg_spend,merchant_fraud_rate
TXN000001,CUST0154,MER014,2025-04-04 12:28:00,199.24,web,online,London,0,12,0,0,1,122.31846153846155,0.08333333333333333
TXN000002,CUST0196,MER048,2025-03-18 05:39:00,105.0,atm,card_present,Glasgow,0,5,1,0,0,122.74083333333333,0.0
TXN000003,CUST0055,MER047,2025-04-06 07:20:00,157.22,pos,card_present,Manchester,0,7,0,0,0,135.79888888888888,0.038461538461538464
TXN000004,CUST0006,MER036,2025-03-17 01:39:00,54.46,atm,online,Leeds,0,1,1,0,1,134.65333333333334,0.08333333333333333
TXN000005,CUST0163,MER039,2025-01-06 06:01:00,122.92,web,online,Manchester,0,6,0,0,1,148.73923076923077,0.10526315789473684
TXN000006,CUST0150,MER016,2025-05-23 06:26:00,75.32,mobile,card_present,Leeds,0,6,0,0,0,192.29142857142855,0.08888888888888889
TXN000007,CUST0171,MER022,2025-02-27 01:12:00,25.28,web,online,Birmingham,0,1,1,0,1,84.1025,0.020833333333333332
TXN000008,CUST0143,MER021,2025-03-28 19:56:00,145.17,web,card_present,Glasgow,0,19,0,0,0,102.079375,0.1282051282051282
TXN000009,CUST0086,MER021,2025-03-28 03:29:00,97.56,pos,card_present,London,0,3,1,0,0,90.59666666666666,0.1282051282051282
TXN000010,CUST0060,MER008,2025-01-19 13:34:00,53.3,web,transfer,Glasgow,0,13,0,0,0,263.12777777777774,0.07894736842105263
TXN000011,CUST0101,MER049,2025-04-06 10:43:00,290.75,web,online,Leeds,0,10,0,0,1,230.46470588235294,0.06521739130434782
TXN000012,CUST0012,MER016,2025-06-23 14:06:00,2.54,pos,online,London,0,14,0,0,1,105.11066666666667,0.08888888888888889
TXN000013,CUST0049,MER031,2025-01-19 02:29:00,45.54,pos,transfer,Glasgow,0,2,1,0,0,119.575,0.0
TXN000014,CUST0042,MER042,2025-05-27 12:17:00,7.03,mobile,card_present,London,0,12,0,0,0,160.70999999999998,0.043478260869565216
TXN000015,CUST0166,MER010,2025-01-09 23:10:00,174.56,atm,online,Leeds,0,23,1,0,1,80.08666666666666,0.02564102564102564
TXN000016,CUST0082,MER032,2025-02-21 00:39:00,145.32,web,transfer,Birmingham,0,0,1,0,0,106.00928571428572,0.05263157894736842
TXN000017,CUST0173,MER034,2025-05-26 00:07:00,48.3,pos,transfer,Birmingham,0,0,1,0,0,137.3093333333333,0.09375
TXN000018,CUST0035,MER009,2025-02-26 10:24:00,135.12,mobile,online,Glasgow,0,10,0,0,1,144.2288888888889,0.07692307692307693
TXN000019,CUST0158,MER017,2025-01-17 03:55:00,60.49,atm,transfer,Manchester,0,3,1,0,0,216.6975,0.1320754716981132
TXN000020,CUST0158,MER011,2025-02-20 04:34:00,599.71,web,online,Leeds,1,4,1,1,1,216.6975,0.125
TXN000021,CUST0134,MER032,2025-05-28 14:01:00,72.66,atm,transfer,Glasgow,0,14,0,0,0,93.08500000000001,0.05263157894736842
TXN000022,CUST0067,MER010,2025-03-11 23:36:00,63.78,atm,card_present,Glasgow,0,23,1,0,0,146.3511111111111,0.02564102564102564
TXN000023,CUST0080,MER022,2025-05-13 16:36:00,327.51,web,card_present,Birmingham,0,16,0,1,0,234.06428571428572,0.020833333333333332
TXN000024,CUST0007,MER017,2025-05-15 18:13:00,34.66,web,online,London,0,18,0,0,1,138.4825,0.1320754716981132
TXN000025,CUST0180,MER004,2025-05-30 19:31:00,15.4,pos,transfer,Leeds,0,19,0,0,0,115.43714285714285,0.02564102564102564
TXN000026,CUST0014,MER048,2025-05-09 21:45:00,105.41,atm,card_present,London,0,21,0,0,0,326.68555555555554,0.0
TXN000027,CUST0073,MER047,2025-02-03 15:27:00,418.1,pos,card_present,Leeds,0,15,0,1,0,197.7825,0.038461538461538464
TXN000028,CUST0143,MER025,2025-04-26 00:01:00,252.22,web,transfer,Manchester,1,0,1,0,0,102.079375,0.05128205128205128
TXN000029,CUST0149,MER021,2025-03-29 18:34:00,7.69,atm,card_present,Birmingham,0,18,0,0,0,111.987,0.1282051282051282
TXN000030,CUST0163,MER037,2025-02-22 13:43:00,49.74,pos,transfer,Manchester,0,13,0,0,0,148.73923076923077,0.06451612903225806
TXN000031,CUST0066,MER038,2025-02-22 20:10:00,84.61,atm,online,Glasgow,0,20,0,0,1,71.96375,0.025
TXN000032,CUST0091,MER049,2025-01-12 23:40:00,21.2,atm,card_present,Birmingham,0,23,1,0,0,98.668,0.06521739130434782
TXN000033,CUST0130,MER001,2025-03-20 04:21:00,128.79,atm,card_present,Glasgow,0,4,1,0,0,277.7785714285714,0.0
TXN000034,CUST0163,MER025,2025-01-03 15:32:00,731.59,atm,transfer,Manchester,0,15,0,1,0,148.73923076923077,0.05128205128205128
TXN000035,CUST0020,MER036,2025-04-21 11:36:00,72.12,mobile,transfer,Leeds,0,11,0,0,0,70.79555555555555,0.08333333333333333
TXN000036,CUST0010,MER017,2025-05-12 18:08:00,52.57,atm,transfer,Glasgow,0,18,0,0,0,82.707,0.1320754716981132
TXN000037,CUST0025,MER041,2025-03-22 15:48:00,61.44,web,transfer,London,0,15,0,0,0,68.02230769230769,0.04
TXN000038,CUST0194,MER024,2025-04-20 23:17:00,53.74,mobile,transfer,Leeds,1,23,1,0,0,165.37800000000001,0.03225806451612903
TXN000039,CUST0025,MER002,2025-06-05 05:08:00,257.75,web,online,Leeds,0,5,1,0,1,68.02230769230769,0.07142857142857142
TXN000040,CUST0054,MER040,2025-03-22 20:21:00,64.3,atm,online,Manchester,0,20,0,0,1,114.06846153846155,0.08333333333333333
TXN000041,CUST0033,MER015,2025-01-02 02:45:00,58.78,web,online,Manchester,0,2,1,0,1,119.10249999999999,0.043478260869565216
TXN000042,CUST0164,MER032,2025-05-21 10:30:00,129.35,mobile,online,Birmingham,0,10,0,0,1,68.10153846153845,0.05263157894736842
TXN000043,CUST0095,MER039,2025-02-20 05:03:00,70.01,pos,transfer,Birmingham,0,5,1,0,0,80.175,0.10526315789473684
TXN000044,CUST0014,MER006,2025-04-20 20:51:00,125.37,atm,card_present,London,0,20,0,0,0,326.68555555555554,0.025
TXN000045,CUST0065,MER001,2025-05-25 14:21:00,7.61,web,card_present,Leeds,0,14,0,0,0,173.2607142857143,0.0
TXN000046,CUST0110,MER047,2025-05-11 00:10:00,201.66,mobile,card_present,London,0,0,1,0,0,109.78625,0.038461538461538464
TXN000047,CUST0080,MER023,2025-06-23 02:37:00,338.62,pos,transfer,London,0,2,1,1,0,234.06428571428572,0.023255813953488372
TXN000048,CUST0054,MER039,2025-02-22 20:45:00,125.56,mobile,card_present,Manchester,0,20,0,0,0,114.06846153846155,0.10526315789473684
TXN000049,CUST0125,MER017,2025-04-11 16:30:00,370.98,web,transfer,London,0,16,0,1,0,154.599,0.1320754716981132
TXN000050,CUST0180,MER034,2025-05-31 12:07:00,19.7,mobile,card_present,London,0,12,0,0,0,115.43714285714285,0.09375
TXN000051,CUST0131,MER041,2025-04-21 01:58:00,77.88,pos,online,Glasgow,0,1,1,0,1,266.489,0.04
TXN000052,CUST0169,MER029,2025-03-28 03:20:00,110.5,web,transfer,Birmingham,0,3,1,0,0,135.38,0.09523809523809523
TXN000053,CUST0134,MER009,2025-04-11 01:58:00,104.6,pos,card_present,Birmingham,0,1,1,0,0,93.08500000000001,0.07692307692307693
TXN000054,CUST0025,MER013,2025-04-19 06:10:00,61.59,mobile,online,Leeds,0,6,0,0,1,68.02230769230769,0.021739130434782608
TXN000055,CUST0141,MER006,2025-06-11 02:06:00,49.51,atm,online,Birmingham,0,2,1,0,1,130.81733333333332,0.025
TXN000056,CUST0117,MER006,2025-06-21 09:43:00,16.27,atm,online,Leeds,0,9,0,0,1,248.40444444444444,0.025
TXN000057,CUST0136,MER020,2025-01-04 00:04:00,59.66,atm,transfer,Glasgow,0,0,1,0,0,200.728,0.14285714285714285
